0,Full Name   ,Phone Number , Address        ,Driver License,SSN Placeholder
1, Ava Martinez,(555) 123-3567,"123 Elm St, Springfield, IL ",D1234567   ,XXX-XX-0001
2,Liam Johson,(555) 233-3588," 456 Oak Ave, Fairview, TX   ", D2345678  ,XXX-XX-0002
3,Sophia Chen,(555) 421-1537,"789 Maple Rd, Glenwood, NY", D3456789 ,XXX-XX-0003
4,Noah Kim,(555) 331-2211,"321 Birch Ln, Brookside, CA ", D3456789 ,XXX-XX-0004
5,Emma Davis,(555) 412-1636,"654 Pine St, Riverview, WA ",D5678901 ,XXX-XX-0005
6,Oliver Smith ,(555) 632-8129,"987 Cedar Dr, Lakeside, FL ",D6789012,XXX-XX-0006
7,Mia Garcia,(555) 231-6525,"741 Spruce Ct, Hilltop, CO ", D7890123 ,XXX-XX-0007
8,Elijah Patel,(555) 643-9192,"852 Aspen Blvd, Stonefield, OH",D8901234 ,XXX-XX-0007
9,Isabella Nguyen,(555) 123-2155," 963 Willow Way, Crestview, MA ",D9012345  ,XXX-XX-0009
10,James Thompson,(555) 123-7654," 147 Redwood Ave, Highland, OR ",D0123456 ,XXX-XX-0010
